Software version: 0.10.9 ; Calibration file: 9182501_20251128_CAL.txt
Scan start time,Bin 1.25-1.5 nm,Bin 1.5-1.7 nm,Bin 1.7-2.5 nm,Bin 2.5-5.0 nm,Bin 5.0-8.0 nm,Bin 8.0-13.07 nm,Dp >13.07 nm total number concentration
2026-01-06T08:13:31,20145.41,0,330.20,179.94,128.03,0,
2026-01-06T08:15:31,0,4201.67,0,105.69,0,158.01,
2026-01-06T08:17:31,21400.12,0,575.41,268.99,0,115.78,
2026-01-06T08:19:31,10300.39,1243.91,133.33,231.68,0,316.84,
2026-01-06T08:21:31,19260.89,1209.77,0,208.32,60.85,25.91,
2026-01-06T08:23:31,16239.40,0,135.63,315.69,11.14,0,
2026-01-06T08:25:31,11606.07,2470.78,295.53,187.74,107.45,0,
2026-01-06T08:27:31,13820.58,0,497.31,203.83,11.25,128.61,
2026-01-06T08:29:31,14216.28,105.57,699.18,303.85,88.23,0,
2026-01-06T08:31:31,4663.19,0,453.80,227.44,185.34,0,
2026-01-06T08:33:31,19643.19,0,613.32,104.70,341.85,0,
2026-01-06T08:35:31,4194.20,0,134.66,362.69,89.30,0,
2026-01-06T08:37:31,18597.61,0,360.23,185.67,0,201.03,
2026-01-06T08:39:31,2257.28,0,149.99,452.85,0,0,
2026-01-06T08:41:31,24282.12,0,109.14,298.93,58.35,0,
2026-01-06T08:43:31,6393.89,0,0,213.74,284.45,0,
2026-01-06T08:45:31,21859.60,0,635.18,204.44,0,0,
2026-01-06T08:47:31,7491.69,0,478.40,164.28,154.29,0,
2026-01-06T08:49:31,21736.23,925.80,436.33,299.06,74.46,0,
2026-01-06T08:51:31,11308.67,1507.05,414.91,0,67.57,147.45,
2026-01-06T08:53:31,17114.46,2407.61,359.94,322.77,0,94.98,
2026-01-06T08:55:31,13523.80,59.89,166.81,243.85,0,148.90,
2026-01-06T08:57:31,22589.77,0,914.67,244.22,0,446.78,
2026-01-06T08:59:31,22446.65,858.69,52.13,252.97,2.04,7.42,
2026-01-06T09:01:31,31825.93,1204.78,233.13,223.87,101.71,0,
2026-01-06T09:03:31,12502.26,1159.76,42.72,210.11,211.10,0,
2026-01-06T09:05:31,23633.48,650.49,0,515.80,0,55.90,
2026-01-06T09:07:31,9329.20,0,148.70,194.47,205.98,0,
2026-01-06T09:09:31,16573.26,3049.03,205.99,342.00,143.11,0,
2026-01-06T09:11:31,5541.96,2662.94,0,373.06,58.96,0,
2026-01-06T09:13:31,31197.55,684.30,951.33,192.69,0,203.07,
2026-01-06T09:15:31,17277.83,1314.96,121.71,287.80,0,60.63,
2026-01-06T09:17:31,23324.15,2861.66,275.79,192.85,0,53.40,
2026-01-06T09:19:31,21540.76,1034.61,0,187.05,147.63,0,
2026-01-06T09:21:31,27936.07,2281.08,946.45,109.45,20.42,123.84,
2026-01-06T09:23:31,14362.16,486.40,340.07,170.79,111.38,0,
2026-01-06T09:25:31,27510.58,0,149.98,275.13,165.15,0,
2026-01-06T09:27:31,6989.04,1984.19,238.52,292.35,0,163.00,
2026-01-06T09:29:31,31717.64,1050.04,603.10,146.59,0,0,
2026-01-06T09:31:31,13071.20,1155.61,317.79,98.22,42.07,170.86,
2026-01-06T09:33:31,25072.47,4995.50,0,169.59,22.00,192.04,
2026-01-06T09:35:31,9752.41,1619.52,906.54,76.51,358.58,0,
2026-01-06T09:37:31,34245.43,1766.74,148.57,143.18,0,0,
2026-01-06T09:39:31,9134.64,0,573.93,0,120.50,102.70,
2026-01-06T09:41:31,27460.97,2214.11,376.57,24.34,405.62,0,
2026-01-06T09:43:31,16821.38,463.54,474.29,137.25,0,139.77,
2026-01-06T09:45:31,35268.33,322.76,583.14,261.36,0,218.97,
2026-01-06T09:47:31,22327.11,937.28,116.64,62.89,47.82,210.75,
2026-01-06T09:49:31,37026.01,2193.22,641.20,101.61,187.76,0,
2026-01-06T09:51:31,13354.62,0,686.18,109.89,127.99,0,
2026-01-06T09:53:31,40519.01,3635.27,470.95,81.82,0,61.58,
2026-01-06T09:55:31,16630.77,1442.56,659.36,305.24,0,173.04,
2026-01-06T09:57:31,29724.90,5266.00,493.77,85.32,0,0,
2026-01-06T09:59:31,23161.95,751.57,845.80,0,413.28,0,
2026-01-06T10:01:31,35042.45,2672.67,438.59,66.04,166.56,0,
2026-01-06T10:03:31,24609.00,695.63,0,361.95,0,22.92,
2026-01-06T10:05:31,36249.61,4007.07,337.06,86.94,201.79,0,
2026-01-06T10:07:31,13658.07,1508.88,438.23,99.19,174.09,9.58,
2026-01-06T10:09:31,21793.55,3585.09,135.37,70.56,20.20,66.35,
2026-01-06T10:11:31,3507.73,5074.19,371.37,6.90,0,244.09,
2026-01-06T10:13:31,27827.82,5147.36,206.79,66.84,217.28,0,
2026-01-06T10:15:31,10149.33,4430.27,422.81,78.95,0,178.73,
2026-01-06T10:17:31,25875.39,5868.10,30.27,251.17,37.25,46.24,
2026-01-06T10:19:31,25683.76,1038.83,204.28,113.77,98.01,0,
2026-01-06T10:21:31,35892.52,3056.91,481.63,107.04,27.33,0,
2026-01-06T10:23:31,17267.90,1793.02,0,283.35,64.97,207.39,
2026-01-06T10:25:31,27901.98,5082.99,452.70,190.23,126.64,0,
2026-01-06T10:27:31,7756.96,1155.79,785.85,28.29,200.92,0,
2026-01-06T10:29:31,34948.10,2144.84,175.39,343.33,124.76,0,
2026-01-06T10:31:31,12405.52,3368.74,617.68,184.62,52.23,18.11,
2026-01-06T10:33:31,35163.46,1920.52,411.56,200.21,219.08,0,
2026-01-06T10:35:31,17027.39,2301.37,149.45,198.23,57.47,114.51,
2026-01-06T10:37:31,28806.42,1844.58,648.44,0,157.20,116.23,
2026-01-06T10:39:31,9486.92,1665.09,694.35,187.05,49.07,0,
2026-01-06T10:41:31,25829.74,5197.06,569.58,114.85,107.72,137.99,
2026-01-06T10:43:31,11047.22,1516.05,873.92,95.22,168.17,0,
2026-01-06T10:45:31,27840.85,6268.74,369.84,166.20,0,331.07,
2026-01-06T10:47:31,20826.24,1730.65,0,300.84,0,91.15,
2026-01-06T10:49:31,23767.22,5225.79,258.85,108.91,174.45,0,
2026-01-06T10:51:31,24022.18,1714.44,625.07,202.64,226.59,0,
2026-01-06T10:53:31,36343.76,2210.13,241.40,137.49,0,158.47,
2026-01-06T10:55:31,10822.30,3423.17,0,199.33,118.64,10.55,
2026-01-06T10:57:31,31921.13,840.94,591.78,142.76,192.87,0,
2026-01-06T10:59:31,14571.38,0,425.02,192.38,118.81,17.79,
2026-01-06T11:01:31,30782.08,5442.46,607.26,0,139.25,99.36,
2026-01-06T11:03:31,15998.42,529.58,228.90,217.11,155.65,0,
2026-01-06T11:05:31,41157.54,4480.25,217.08,258.69,0,43.88,
2026-01-06T11:07:31,23129.31,52.06,1088.70,167.47,0,691.62,
2026-01-06T11:09:31,43688.57,1788.73,423.77,248.40,0,154.73,
2026-01-06T11:11:31,20031.60,999.24,0,299.81,121.67,0,
2026-01-06T11:13:31,36197.49,4433.75,409.84,210.02,0,231.06,
2026-01-06T11:15:31,10842.48,5963.72,136.36,139.41,358.94,0,
2026-01-06T11:17:31,37030.09,4891.13,496.85,111.49,0,330.30,
2026-01-06T11:19:31,19087.26,2142.43,691.28,0,40.03,154.38,
2026-01-06T11:21:31,29778.33,6387.03,193.25,215.61,163.82,0,
2026-01-06T11:23:31,24410.90,0,362.69,92.76,142.42,74.10,
2026-01-06T11:25:31,36883.11,3217.57,623.91,336.11,0,308.29,
2026-01-06T11:27:31,15560.83,781.05,0,247.74,100.53,0,
2026-01-06T11:29:31,38401.71,2210.08,430.83,28.21,0,249.79,
2026-01-06T11:31:31,14006.44,3011.63,0,114.28,9.53,28.54,
2026-01-06T11:33:31,45949.05,3823.13,90.64,153.46,0,63.22,
2026-01-06T11:35:31,25402.15,373.43,681.64,0,158.70,0,
2026-01-06T11:37:31,34473.95,3068.79,542.70,0,5.24,59.70,
2026-01-06T11:39:31,16390.01,2584.28,0,97.09,0,151.10,
2026-01-06T11:41:31,33473.71,6701.85,297.45,107.60,0,206.74,
2026-01-06T11:43:31,14528.11,2525.39,0,19.86,191.01,0,
2026-01-06T11:45:31,40193.23,3578.09,445.37,128.56,0,48.34,
2026-01-06T11:47:31,11485.56,3881.63,137.49,4.97,107.58,19.13,
2026-01-06T11:49:31,42666.18,2535.10,294.14,307.20,0,389.88,
2026-01-06T11:51:31,15668.80,19.67,837.95,2.81,0,39.43,
2026-01-06T11:53:31,36359.20,1171.04,872.51,48.31,0,0,
2026-01-06T11:55:31,17027.85,1671.68,423.17,0,86.67,110.52,
2026-01-06T11:57:31,17133.37,6319.10,587.42,73.92,0,38.73,
2026-01-06T11:59:31,13740.29,1399.29,49.43,252.11,0,217.90,
2026-01-06T12:01:31,25620.14,3694.53,720.21,0,157.44,29.68,
2026-01-06T12:03:31,15330.06,1632.93,167.79,0,0,126.02,
2026-01-06T12:05:31,22177.49,3790.16,533.23,0,0,305.79,
